GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
-2039767727,SushiGo,3,GAME_OVER,61,0,2,33,BasicMCTS,31.0,43.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
1115136563,SushiGo,3,GAME_OVER,60,0,2,34,BasicMCTS,38.0,43.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-394703714,SushiGo,3,GAME_OVER,61,0,2,35,BasicMCTS,45.0,47.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
491282519,SushiGo,3,GAME_OVER,61,0,2,36,BasicMCTS,37.0,35.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
991772015,SushiGo,3,GAME_OVER,62,0,2,37,BasicMCTS,45.0,45.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
288423849,SushiGo,3,GAME_OVER,60,0,2,38,BasicMCTS,37.0,59.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1595934290,SushiGo,3,GAME_OVER,60,0,2,39,BasicMCTS,36.0,48.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1791317608,SushiGo,3,GAME_OVER,61,0,2,40,BasicMCTS,54.0,41.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1375946348,SushiGo,3,GAME_OVER,64,0,2,41,BasicMCTS,46.0,37.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
714044006,SushiGo,3,GAME_OVER,60,0,2,42,BasicMCTS,44.0,40.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1141736524,SushiGo,3,GAME_OVER,62,0,2,43,BasicMCTS,50.0,45.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-68629972,SushiGo,3,GAME_OVER,62,0,2,44,BasicMCTS,57.0,60.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
268448290,SushiGo,3,GAME_OVER,61,0,2,45,BasicMCTS,59.0,52.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
-1199211999,SushiGo,3,GAME_OVER,60,0,2,46,BasicMCTS,52.0,52.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
648115670,SushiGo,3,GAME_OVER,61,0,2,47,BasicMCTS,45.0,46.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
-1960070630,SushiGo,3,GAME_OVER,61,0,2,48,BasicMCTS,40.0,44.0,BasicMCTS,2,BasicMCTS,2,1,1,BasicMCTS,BasicMCTS,BasicMCTS,0
375050126,SushiGo,3,GAME_OVER,61,0,2,49,BasicMCTS,49.0,49.0,BasicMCTS,1,BasicMCTS,1,1,1,BasicMCTS,BasicMCTS,BasicMCTS,-1
-218109356,SushiGo,3,GAME_OVER,61,0,2,50,BasicMCTS,47.0,45.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
1504533260,SushiGo,3,GAME_OVER,60,0,2,51,BasicMCTS,52.0,47.0,BasicMCTS,1,BasicMCTS,1,2,2,BasicMCTS,BasicMCTS,BasicMCTS,1
