GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(PlayerName-1),PlayerType(PlayerType-1),PlayerType(PlayerType-0),Winner(PlayerIdx)
346665430,Connect4,6,GAME_OVER,14,1,2,2,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
879079583,Connect4,7,GAME_OVER,15,0,2,3,Random,-1.0,1.0,rmhc,2,Random,2,1,1,rmhc,rmhc,Random,0
-619666105,Connect4,16,GAME_OVER,33,0,2,4,Random,-1.0,1.0,rmhc,2,Random,2,1,1,rmhc,rmhc,Random,0
503938916,Connect4,7,GAME_OVER,16,1,2,5,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-428737539,Connect4,12,GAME_OVER,26,1,2,6,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-1745970416,Connect4,6,GAME_OVER,14,1,2,7,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-1436161366,Connect4,10,GAME_OVER,21,0,2,8,Random,-1.0,1.0,rmhc,2,Random,2,1,1,rmhc,rmhc,Random,0
-1151041315,Connect4,8,GAME_OVER,17,0,2,9,Random,-1.0,1.0,rmhc,2,Random,2,1,1,rmhc,rmhc,Random,0
697067980,Connect4,15,GAME_OVER,32,1,2,10,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
1168140970,Connect4,4,GAME_OVER,10,1,2,11,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-1491060889,Connect4,4,GAME_OVER,10,1,2,12,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-1819802610,Connect4,12,GAME_OVER,25,0,2,13,Random,-1.0,1.0,rmhc,2,Random,2,1,1,rmhc,rmhc,Random,0
-2121274456,Connect4,9,GAME_OVER,20,1,2,14,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
259280696,Connect4,10,GAME_OVER,21,0,2,15,Random,-1.0,1.0,rmhc,2,Random,2,1,1,rmhc,rmhc,Random,0
1706137030,Connect4,13,GAME_OVER,28,1,2,16,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
545138396,Connect4,9,GAME_OVER,20,1,2,17,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
1376458976,Connect4,14,GAME_OVER,30,1,2,18,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
1195311045,Connect4,10,GAME_OVER,22,1,2,19,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
813477029,Connect4,11,GAME_OVER,23,0,2,20,Random,-1.0,1.0,rmhc,2,Random,2,1,1,rmhc,rmhc,Random,0
-1466178614,Connect4,7,GAME_OVER,16,1,2,21,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-118322159,Connect4,8,GAME_OVER,18,1,2,22,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-1428166355,Connect4,3,GAME_OVER,7,0,2,23,Random,-1.0,1.0,rmhc,2,Random,2,1,1,rmhc,rmhc,Random,0
1144294523,Connect4,14,GAME_OVER,30,1,2,24,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
2100098225,Connect4,8,GAME_OVER,18,1,2,25,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
23994827,Connect4,6,GAME_OVER,14,1,2,26,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
1662792176,Connect4,7,GAME_OVER,16,1,2,27,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
2013120665,Connect4,13,GAME_OVER,28,1,2,28,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-1880183632,Connect4,8,GAME_OVER,18,1,2,29,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-1377239692,Connect4,4,GAME_OVER,10,1,2,30,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
1795532617,Connect4,7,GAME_OVER,15,0,2,31,Random,-1.0,1.0,rmhc,2,Random,2,1,1,rmhc,rmhc,Random,0
-1548656463,Connect4,4,GAME_OVER,10,1,2,32,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-653656736,Connect4,4,GAME_OVER,10,1,2,33,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-400394132,Connect4,12,GAME_OVER,26,1,2,34,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-1422203009,Connect4,5,GAME_OVER,12,1,2,35,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-1113178468,Connect4,9,GAME_OVER,20,1,2,36,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-175367348,Connect4,7,GAME_OVER,15,0,2,37,Random,-1.0,1.0,rmhc,2,Random,2,1,1,rmhc,rmhc,Random,0
1362911089,Connect4,6,GAME_OVER,14,1,2,38,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-347120262,Connect4,8,GAME_OVER,18,1,2,39,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
1416514647,Connect4,11,GAME_OVER,24,1,2,40,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-1570736736,Connect4,9,GAME_OVER,20,1,2,41,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-1532681659,Connect4,7,GAME_OVER,16,1,2,42,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
2038358424,Connect4,6,GAME_OVER,14,1,2,43,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
1950377550,Connect4,8,GAME_OVER,18,1,2,44,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-389679841,Connect4,3,GAME_OVER,8,1,2,45,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-1652369011,Connect4,6,GAME_OVER,13,0,2,46,Random,-1.0,1.0,rmhc,2,Random,2,1,1,rmhc,rmhc,Random,0
649728961,Connect4,15,GAME_OVER,32,1,2,47,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
1939385821,Connect4,3,GAME_OVER,8,1,2,48,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-765151654,Connect4,10,GAME_OVER,22,1,2,49,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
-382843140,Connect4,5,GAME_OVER,12,1,2,50,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
1616233144,Connect4,8,GAME_OVER,18,1,2,51,Random,1.0,-1.0,rmhc,1,Random,1,2,2,rmhc,rmhc,Random,1
346665430,Connect4,12,GAME_OVER,25,0,2,52,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
879079583,Connect4,5,GAME_OVER,11,0,2,53,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
-619666105,Connect4,9,GAME_OVER,19,0,2,54,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
503938916,Connect4,9,GAME_OVER,20,1,2,55,rmhc,1.0,-1.0,Random,1,rmhc,1,2,2,Random,Random,rmhc,1
-428737539,Connect4,4,GAME_OVER,9,0,2,56,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
-1745970416,Connect4,16,GAME_OVER,33,0,2,57,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
-1436161366,Connect4,14,GAME_OVER,29,0,2,58,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
-1151041315,Connect4,12,GAME_OVER,25,0,2,59,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
697067980,Connect4,9,GAME_OVER,19,0,2,60,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
1168140970,Connect4,10,GAME_OVER,21,0,2,61,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
-1491060889,Connect4,12,GAME_OVER,26,1,2,62,rmhc,1.0,-1.0,Random,1,rmhc,1,2,2,Random,Random,rmhc,1
-1819802610,Connect4,11,GAME_OVER,24,1,2,63,rmhc,1.0,-1.0,Random,1,rmhc,1,2,2,Random,Random,rmhc,1
-2121274456,Connect4,11,GAME_OVER,23,0,2,64,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
259280696,Connect4,3,GAME_OVER,7,0,2,65,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
1706137030,Connect4,3,GAME_OVER,7,0,2,66,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
545138396,Connect4,12,GAME_OVER,25,0,2,67,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
1376458976,Connect4,10,GAME_OVER,21,0,2,68,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
1195311045,Connect4,3,GAME_OVER,7,0,2,69,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
813477029,Connect4,4,GAME_OVER,9,0,2,70,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
-1466178614,Connect4,4,GAME_OVER,9,0,2,71,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
-118322159,Connect4,5,GAME_OVER,11,0,2,72,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
-1428166355,Connect4,3,GAME_OVER,7,0,2,73,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
1144294523,Connect4,7,GAME_OVER,15,0,2,74,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
2100098225,Connect4,7,GAME_OVER,15,0,2,75,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
23994827,Connect4,11,GAME_OVER,23,0,2,76,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
1662792176,Connect4,4,GAME_OVER,9,0,2,77,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
2013120665,Connect4,3,GAME_OVER,7,0,2,78,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
-1880183632,Connect4,15,GAME_OVER,32,1,2,79,rmhc,1.0,-1.0,Random,1,rmhc,1,2,2,Random,Random,rmhc,1
-1377239692,Connect4,9,GAME_OVER,19,0,2,80,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
1795532617,Connect4,5,GAME_OVER,11,0,2,81,rmhc,-1.0,1.0,Random,2,rmhc,2,1,1,Random,Random,rmhc,0
