GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
580954778,SushiGo,3,GAME_OVER,96,0,4,38,1,Random,1,3,3,3,3,2,rhea,2,BasicMCTS,osla,Random,49.0,26.0,26.0,41.0,rhea,BasicMCTS,osla,rhea,Random,osla,BasicMCTS,1
-1450633361,SushiGo,3,GAME_OVER,98,0,4,39,4,osla,4,3,3,2,2,1,Random,1,rhea,BasicMCTS,osla,27.0,29.0,33.0,42.0,Random,rhea,BasicMCTS,Random,osla,BasicMCTS,rhea,2
1155036243,SushiGo,3,GAME_OVER,100,0,4,40,1,osla,1,4,4,2,2,3,rhea,3,Random,BasicMCTS,osla,36.0,21.0,31.0,26.0,rhea,Random,BasicMCTS,rhea,osla,BasicMCTS,Random,1
906021935,SushiGo,3,GAME_OVER,98,0,4,41,2,rhea,2,1,1,3,3,4,BasicMCTS,4,osla,Random,rhea,31.0,44.0,30.0,20.0,BasicMCTS,osla,Random,BasicMCTS,rhea,Random,osla,0
-62706232,SushiGo,3,GAME_OVER,97,0,4,42,1,osla,1,3,3,4,4,2,rhea,2,BasicMCTS,Random,osla,36.0,25.0,24.0,36.0,rhea,BasicMCTS,Random,rhea,osla,Random,BasicMCTS,1
-1107139736,SushiGo,3,GAME_OVER,96,0,4,43,1,rhea,1,2,2,4,4,3,BasicMCTS,3,Random,osla,rhea,42.0,32.0,19.0,32.0,BasicMCTS,Random,osla,BasicMCTS,rhea,osla,Random,1
-979959618,SushiGo,3,GAME_OVER,99,0,4,44,1,BasicMCTS,1,2,2,4,4,3,rhea,3,Random,osla,BasicMCTS,43.0,36.0,17.0,19.0,rhea,Random,osla,rhea,BasicMCTS,osla,Random,1
-608441598,SushiGo,3,GAME_OVER,97,0,4,45,2,rhea,2,1,1,4,4,3,osla,3,Random,BasicMCTS,rhea,36.0,74.0,26.0,32.0,osla,Random,BasicMCTS,osla,rhea,BasicMCTS,Random,0
-1317486756,SushiGo,3,GAME_OVER,98,0,4,46,1,BasicMCTS,1,2,2,3,3,4,rhea,4,Random,osla,BasicMCTS,45.0,40.0,31.0,25.0,rhea,Random,osla,rhea,BasicMCTS,osla,Random,1
-102646906,SushiGo,3,GAME_OVER,97,0,4,47,3,BasicMCTS,3,1,1,2,2,4,rhea,4,osla,Random,BasicMCTS,29.0,41.0,32.0,27.0,rhea,osla,Random,rhea,BasicMCTS,Random,osla,0
-1889858385,SushiGo,3,GAME_OVER,98,0,4,48,4,Random,4,2,2,1,1,3,rhea,3,osla,BasicMCTS,Random,21.0,29.0,43.0,24.0,rhea,osla,BasicMCTS,rhea,Random,BasicMCTS,osla,3
1921493154,SushiGo,3,GAME_OVER,101,0,4,49,4,BasicMCTS,4,2,2,1,1,3,Random,3,osla,rhea,BasicMCTS,27.0,36.0,41.0,28.0,Random,osla,rhea,Random,BasicMCTS,rhea,osla,3
1760171303,SushiGo,3,GAME_OVER,98,0,4,50,4,BasicMCTS,4,1,1,2,2,3,Random,3,osla,rhea,BasicMCTS,24.0,44.0,43.0,25.0,Random,osla,rhea,Random,BasicMCTS,rhea,osla,0
-255868503,SushiGo,3,GAME_OVER,96,0,4,51,4,rhea,4,1,1,3,3,2,osla,2,BasicMCTS,Random,rhea,27.0,49.0,29.0,31.0,osla,BasicMCTS,Random,osla,rhea,Random,BasicMCTS,0
2097534744,SushiGo,3,GAME_OVER,98,0,4,52,1,Random,1,3,3,4,4,2,rhea,2,BasicMCTS,osla,Random,45.0,28.0,26.0,33.0,rhea,BasicMCTS,osla,rhea,Random,osla,BasicMCTS,1
-232742384,SushiGo,3,GAME_OVER,98,0,4,53,2,BasicMCTS,2,3,3,4,4,1,Random,1,rhea,osla,BasicMCTS,38.0,35.0,25.0,52.0,Random,rhea,osla,Random,BasicMCTS,osla,rhea,2
126679867,SushiGo,3,GAME_OVER,96,0,4,54,3,osla,3,2,2,4,4,1,rhea,1,BasicMCTS,Random,osla,27.0,29.0,23.0,39.0,rhea,BasicMCTS,Random,rhea,osla,Random,BasicMCTS,2
127226354,SushiGo,3,GAME_OVER,99,0,4,55,3,osla,3,4,4,1,1,2,BasicMCTS,2,Random,rhea,osla,29.0,27.0,42.0,34.0,BasicMCTS,Random,rhea,BasicMCTS,osla,rhea,Random,3
-914735830,SushiGo,3,GAME_OVER,97,0,4,56,1,Random,1,3,3,2,2,4,rhea,4,osla,BasicMCTS,Random,45.0,34.0,35.0,28.0,rhea,osla,BasicMCTS,rhea,Random,BasicMCTS,osla,1
1058584205,SushiGo,3,GAME_OVER,99,0,4,57,2,osla,2,4,4,1,1,3,BasicMCTS,3,Random,rhea,osla,33.0,19.0,40.0,30.0,BasicMCTS,Random,rhea,BasicMCTS,osla,rhea,Random,3
1930847207,SushiGo,3,GAME_OVER,96,0,4,58,2,osla,2,3,3,4,4,1,BasicMCTS,1,rhea,Random,osla,32.0,26.0,26.0,43.0,BasicMCTS,rhea,Random,BasicMCTS,osla,Random,rhea,2
